INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat,OCCUR_YEAR
51599980,09/23/2008,1:45:00,BROOKLYN,78,0,,false,UNKNOWN,U,UNKNOWN,18-24,M,BLACK,991753,187169,40.68041746400007,-73.97295017499994,POINT (-73.97295017499994 40.68041746400007),2008
69764232,01/10/2010,20:30:00,BROOKLYN,79,0,,false,18-24,M,BLACK,18-24,M,BLACK,1000788,189718,40.68740161900007,-73.94036919399997,POINT (-73.94036919399997 40.68740161900007),2010
141377721,03/13/2015,1:15:00,BRONX,47,0,PVT HOUSE,true,25-44,F,BLACK,25-44,M,BLACK,1026938,269116,40.90523966300003,-73.84557370499994,POINT (-73.84557370499994 40.90523966300003),2015
46141346,05/03/2008,4:01:00,BROOKLYN,67,0,,false,18-24,M,UNKNOWN,18-24,M,BLACK,1003469,171347,40.63697187500002,-73.93075448599996,POINT (-73.93075448599996 40.63697187500002),2008
141940431,04/06/2015,15:35:00,BRONX,44,0,,false,<18,M,BLACK,18-24,M,BLACK,1008137,242505,40.83227154700006,-73.91368284199996,POINT (-73.91368284199996 40.83227154700006),2015
34545401,09/21/2007,15:06:00,QUEENS,113,0,,false,25-44,M,BLACK,25-44,M,BLACK,1051905,193863,40.698535529000026,-73.75601193199999,POINT (-73.75601193199999 40.698535529000026),2007
10137423,01/13/2006,18:27:00,QUEENS,111,0,,false,<18,M,BLACK,<18,M,BLACK,1051474,212698,40.750236130000076,-73.75737813599994,POINT (-73.75737813599994 40.750236130000076),2006
46998152,06/04/2008,22:35:00,MANHATTAN,34,0,,false,UNKNOWN,M,BLACK,18-24,M,BLACK HISPANIC,1004804,253729,40.86308649800003,-73.92569263699994,POINT (-73.92569263699994 40.86308649800003),2008
24954783,10/23/2006,17:30:00,MANHATTAN,23,2,MULTI DWELL - PUBLIC HOUS,false,UNKNOWN,F,BLACK,<18,F,BLACK,999218,230194,40.798500915000034,-73.94594018899994,POINT (-73.94594018899994 40.798500915000034),2006
36391122,12/17/2007,22:32:00,QUEENS,105,0,,false,18-24,M,BLACK,<18,M,BLACK,1057636,203954,40.72618713000002,-73.73523390399998,POINT (-73.73523390399998 40.72618713000002),2007
71311712,02/14/2010,1:19:00,QUEENS,103,0,MULTI DWELL - APT BUILD,false,25-44,M,BLACK,45-64,M,BLACK HISPANIC,1047811,199997,40.71540220700007,-73.77071847199994,POINT (-73.77071847199994 40.71540220700007),2010
